Date,Open,High,Low,Close,Adj Close,Volume
3/12/2019,132.428299,133.556412,131.797318,132.198853,109.995056,4136616
3/13/2019,131.978973,133.193115,131.787766,132.466537,110.217796,3319167
3/14/2019,132.418732,132.829834,131.988525,132.686417,110.400742,2864576
3/15/2019,133.240921,134.158707,133.107071,133.298279,110.909828,7482770
3/18/2019,133.680695,134.196945,132.619507,134.043976,111.530273,3418851
3/19/2019,134.761002,135.468445,133.843216,134.311661,111.753021,3642486
3/20/2019,134.349899,134.512421,132.868073,133.4608,111.045059,3817377
3/21/2019,132.982788,135.86998,132.772461,135.219879,112.508698,3771248
3/22/2019,134.770554,135.219879,132.79158,133.317398,110.925758,4055551
3/25/2019,132.94455,133.757172,132.265778,133.05928,110.710991,2970431
3/26/2019,133.776291,134.818359,133.288712,134.053543,111.538254,2671170
3/27/2019,134.235184,134.311661,132.313583,133.116638,110.758705,3240717
3/28/2019,133.757172,134.263855,132.982788,133.766724,111.299591,2786439
3/29/2019,134.321228,135.009567,133.986618,134.894836,112.238243,3244064
4/1/2019,135.286804,137.103256,135.286804,136.998093,113.988228,4167578
4/2/2019,137.045883,137.619507,136.328873,136.711288,113.749596,2515421
4/3/2019,137.332703,137.877625,136.72084,137.313583,114.250748,2804535
4/4/2019,137.304016,137.801147,136.271515,136.500961,113.574608,2898571
4/5/2019,136.988525,137.189301,136.195023,136.978973,113.972343,2857463
4/8/2019,136.730408,137.112808,136.587006,137.084137,114.05983,2215637
4/9/2019,136.38623,136.663483,135.602295,135.860428,113.041664,3178271
4/10/2019,135.946457,137.189301,135.736145,136.730408,113.765541,2801188
4/11/2019,137.476105,137.772461,136.73996,137.456985,114.370056,3077332
4/12/2019,137.915863,138.087952,137.380493,138.001907,114.823471,3032249
4/15/2019,138.049713,138.107071,136.969406,137.571701,114.4655,3768947
4/16/2019,138.049713,138.99617,137.686417,138.757172,115.451874,6591578
4/17/2019,131.328873,135.736145,130.267685,132.992355,110.655312,13101882
4/18/2019,132.887192,134.311661,132.600388,134.158707,111.625748,5188160
4/22/2019,133.288712,134.378586,132.39006,132.782028,110.480286,4700724
4/23/2019,133.030594,134.722748,132.829834,134.263855,111.713234,4667461
4/24/2019,134.416824,135.095596,133.632889,133.79541,111.323463,2902545
4/25/2019,133.556412,133.604202,131.653915,132.533463,110.273483,3043965
4/26/2019,133.212234,133.738052,132.705551,133.307846,110.917786,2426511
4/29/2019,133.030594,133.489487,132.705551,132.934998,110.607582,3094382
4/30/2019,132.992355,134.263855,132.581268,134.101334,111.578026,4852185
5/1/2019,134.369019,135.573608,134.005737,134.378586,111.808693,3194170
5/2/2019,134.321228,135.066925,133.27916,133.451248,111.037109,3704304
5/3/2019,133.556412,134.79924,133.489487,134.082214,111.562111,2698575
5/6/2019,132.217972,134.502869,131.835571,134.206497,111.66552,2921792
5/7/2019,133.030594,133.374756,130.20076,131.587006,109.485985,4944233
5/8/2019,131.711288,132.600388,131.099426,131.931168,109.772346,3994569
5/9/2019,128.957932,129.617584,127.179733,129.388138,108.935249,4385564
5/10/2019,128.94838,129.780121,126.596558,129.369019,108.919144,4160570
5/13/2019,127.418739,127.695984,125.200768,125.640533,105.780029,5186068
5/14/2019,126.022942,128.412994,125.889099,127.447418,107.301292,3431298
5/15/2019,126.759079,128.671127,126.548759,128.489487,108.178642,2668346
5/16/2019,128.814529,130.124283,128.718933,129.904404,109.369911,3156096
5/17/2019,128.757172,129.455063,128.049713,128.412994,108.114243,2739579
5/20/2019,127.657745,129.474182,127.084129,129.177826,108.758156,3414667
5/21/2019,130.13385,131.032501,129.818359,130.449326,109.82869,2618661
5/22/2019,130.019119,130.736145,129.741867,130.353729,109.748192,1934891
5/23/2019,129.187378,129.187378,124.703636,126.567879,106.560806,5589196
5/24/2019,127.657745,128.346085,125.803062,126.462715,106.472252,2715521
5/28/2019,126.319313,126.806885,124.541107,124.722755,105.007339,5134605
5/29/2019,124.282982,124.550667,122.676865,123.986618,104.387558,3848234
5/30/2019,124.034416,124.254303,123.26004,123.871895,104.290962,2868027
5/31/2019,122.791588,122.791588,121.271507,121.405357,102.214325,3702108
6/3/2019,121.510513,122.906311,121.472275,122.629066,103.244591,4463177
6/4/2019,123.862335,126.902489,123.413002,126.854683,106.802269,4093521
6/5/2019,127.514343,127.734222,124.732315,125.707458,105.836372,3306720
6/6/2019,126.376671,126.816444,125.143402,126.405357,106.423958,2403917
6/7/2019,126.644356,128.79541,126.39579,127.447418,107.301292,2670856
6/10/2019,128.470367,129.397705,128.021027,128.814529,108.452301,3045220
6/11/2019,129.369019,130.458893,129.110901,129.971313,109.426224,3564036
6/12/2019,129.598465,129.961761,128.499039,128.938812,108.556938,2358416
6/13/2019,129.187378,130.277252,129.149139,129.789673,109.273308,3091244
6/14/2019,129.483749,129.904404,128.518158,129.206497,108.782326,2294192
6/17/2019,129.435944,130.047806,128.776291,129.015289,108.621323,2295029
6/18/2019,129.254303,131.156784,129.254303,130.382416,109.772354,3048776
6/19/2019,130.430206,132.27533,130.248566,131.05162,110.335777,2491990
6/20/2019,132.820267,133.403442,132.122375,132.74379,111.76046,3212266
6/21/2019,132.351822,133.403442,132.304016,133.0784,112.04216,5531980
6/24/2019,133.0784,133.986618,132.934998,133.221802,112.162903,2286556
6/25/2019,133.326965,133.412994,132.05545,132.27533,111.366051,2930055
6/26/2019,132.762909,133.537292,132.323135,132.428299,111.494835,2389692
6/27/2019,132.619507,133.173996,131.883362,132.428299,111.494835,2248691
6/28/2019,132.476105,133.021027,131.778198,131.835571,110.995796,6436979
7/1/2019,133.4608,135.267685,133.154877,133.728485,112.589493,3533074
7/2/2019,133.604202,134.254303,133.336517,134.053543,112.863167,2520546
7/3/2019,134.531555,135.583176,134.254303,135.315491,113.925621,2019198
